Alpha,Beta,Gamma,FileSize,Average_Throughput
1,11,3,1000,0.196845
1,11,3,10000,0.198181
1,11,3,100000,0.196952
1,11,3,1000000,0.196575
1,11,3,100000000,0.197424
1,12,1,1,0.197808
1,12,1,100,0.197911
1,12,1,1000,0.198061
1,12,1,10000,0.19786
1,12,1,100000,0.197708
1,12,1,1000000,0.199214
1,12,1,100000000,0.199557
1,12,2,1,0.198635
1,12,2,100,0.196464
1,12,2,1000,0.197533
1,12,2,10000,0.194889
1,12,2,100000,0.198802
1,12,2,1000000,0.197362
1,12,2,100000000,0.197112
1,12,3,1,0.196541
1,12,3,100,0.198081
1,12,3,1000,0.196284
1,12,3,10000,0.196731
1,12,3,100000,0.199269
1,12,3,1000000,0.198044
1,12,3,100000000,0.199502
1,13,1,1,0.198477
1,13,1,100,0.195341
1,13,1,1000,0.1971
1,13,1,10000,0.19845
1,13,1,100000,0.197695
1,13,1,1000000,0.199581
1,13,1,100000000,0.198174
1,13,2,1,0.196735
1,13,2,100,0.198987
1,13,2,1000,0.197176
1,13,2,10000,0.198918
1,13,2,100000,0.196314
1,13,2,1000000,0.198673
1,13,2,100000000,0.196828
1,13,3,1,0.196909
1,13,3,100,0.19798
1,13,3,1000,0.194897
1,13,3,10000,0.200586
1,13,3,100000,0.198
1,13,3,1000000,0.198487
1,13,3,100000000,0.197917
1,14,1,1,0.20141
1,14,1,100,0.198106
1,14,1,1000,0.197861
1,14,1,10000,0.198223
1,14,1,100000,0.196712
1,14,1,1000000,0.195383
1,14,1,100000000,0.200948
1,14,2,1,0.197444
1,14,2,100,0.199074
1,14,2,1000,0.198371
1,14,2,10000,0.196239
1,14,2,100000,0.199049
1,14,2,1000000,0.196612
1,14,2,100000000,0.199857
1,14,3,1,0.197356
1,14,3,100,0.196884
1,14,3,1000,0.195395
1,14,3,10000,0.195884
1,14,3,100000,0.199313
1,14,3,1000000,0.197415
1,14,3,100000000,0.197906
1,15,1,1,0.196449
1,15,1,100,0.198122
1,15,1,1000,0.195864
1,15,1,10000,0.195731
1,15,1,100000,0.197156
1,15,1,1000000,0.198556
1,15,1,100000000,0.196348
1,15,2,1,0.198701
1,15,2,100,0.197418
1,15,2,1000,0.196452
1,15,2,10000,0.196799
1,15,2,100000,0.197004
1,15,2,1000000,0.197099
1,15,2,100000000,0.197413
1,15,3,1,0.199285
1,15,3,100,0.199347
1,15,3,1000,0.19867
1,15,3,10000,0.196731
1,15,3,100000,0.198737
1,15,3,1000000,0.19759
1,15,3,100000000,0.197121
1,16,1,1,0.197135
1,16,1,100,0.198694
1,16,1,1000,0.198332
1,16,1,10000,0.196916
1,16,1,100000,0.197748
1,16,1,1000000,0.197642
1,16,1,100000000,0.197839
1,16,2,1,0.198754
1,16,2,100,0.197459
1,16,2,1000,0.196382
1,16,2,10000,0.196578
1,16,2,100000,0.198584
1,16,2,1000000,0.196215
1,16,2,100000000,0.199263
1,16,3,1,0.198491
1,16,3,100,0.195762
1,16,3,1000,0.197535
1,16,3,10000,0.196852
1,16,3,100000,0.195294
1,16,3,1000000,0.198231
1,16,3,100000000,0.1992
1,17,1,1,0.197043
1,17,1,100,0.198507
1,17,1,1000,0.195042
1,17,1,10000,0.195933
1,17,1,100000,0.197785
1,17,1,1000000,0.196783
1,17,1,100000000,0.197628
1,17,2,1,0.197648
1,17,2,100,0.198442
1,17,2,1000,0.195863
1,17,2,10000,0.1971
